step,loss,hidden
0,0.254402,2
1,0.252631,2
2,0.251373,2
3,0.25056,2
4,0.250121,2
5,0.249982,2
6,0.250056,2
7,0.250245,2
8,0.25045,2
9,0.250601,2
10,0.250661,2
11,0.250626,2
12,0.250512,2
13,0.250345,2
14,0.250153,2
15,0.249962,2
16,0.249794,2
17,0.249663,2
18,0.249573,2
19,0.249518,2
20,0.249481,2
21,0.24944,2
22,0.249371,2
23,0.249255,2
24,0.249083,2
25,0.248853,2
26,0.248571,2
27,0.248245,2
28,0.247882,2
29,0.247488,2
30,0.247062,2
31,0.246597,2
32,0.246084,2
33,0.245509,2
34,0.244857,2
35,0.244116,2
36,0.243276,2
37,0.242331,2
38,0.241278,2
39,0.240119,2
40,0.238856,2
41,0.237495,2
42,0.236043,2
43,0.234506,2
44,0.232891,2
45,0.231205,2
46,0.229458,2
47,0.227659,2
48,0.225817,2
49,0.223942,2
50,0.222048,2
51,0.220143,2
52,0.21824,2
53,0.216347,2
54,0.214474,2
55,0.212627,2
56,0.210815,2
57,0.209041,2
58,0.207312,2
59,0.205631,2
60,0.204002,2
61,0.202428,2
62,0.200912,2
63,0.199454,2
64,0.198056,2
65,0.196718,2
66,0.195439,2
67,0.194219,2
68,0.193055,2
69,0.191948,2
70,0.190894,2
71,0.189893,2
72,0.188943,2
73,0.188041,2
74,0.187186,2
75,0.186376,2
76,0.185608,2
77,0.184881,2
78,0.184192,2
79,0.18354,2
80,0.182922,2
81,0.182336,2
82,0.181781,2
83,0.181255,2
84,0.180757,2
85,0.180285,2
86,0.179837,2
87,0.179412,2
88,0.179008,2
89,0.178625,2
90,0.178261,2
91,0.177915,2
92,0.177586,2
93,0.177272,2
94,0.176974,2
95,0.17669,2
96,0.176419,2
97,0.17616,2
98,0.175913,2
99,0.175678,2
100,0.175452,2
101,0.175237,2
102,0.17503,2
103,0.174833,2
104,0.174643,2
105,0.174462,2
106,0.174287,2
107,0.17412,2
108,0.173959,2
109,0.173805,2
110,0.173656,2
111,0.173513,2
112,0.173375,2
113,0.173242,2
114,0.173114,2
115,0.172991,2
116,0.172871,2
117,0.172756,2
118,0.172645,2
119,0.172537,2
120,0.172433,2
121,0.172332,2
122,0.172234,2
123,0.17214,2
124,0.172048,2
125,0.171959,2
126,0.171873,2
127,0.171789,2
128,0.171708,2
129,0.171629,2
130,0.171552,2
