step,loss,hidden
0,0.282357,2
1,0.282357,2
2,0.276772,2
3,0.271708,2
4,0.267133,2
5,0.263081,2
6,0.259578,2
7,0.256636,2
8,0.254251,2
9,0.252402,2
10,0.251051,2
11,0.250144,2
12,0.249616,2
13,0.249392,2
14,0.249389,2
15,0.249529,2
16,0.249734,2
17,0.249937,2
18,0.250082,2
19,0.250131,2
20,0.250057,2
21,0.249850,2
22,0.249513,2
23,0.249059,2
24,0.248507,2
25,0.247885,2
26,0.247220,2
27,0.246541,2
28,0.245874,2
29,0.245241,2
30,0.244658,2
31,0.244133,2
32,0.243666,2
33,0.243250,2
34,0.242872,2
35,0.242514,2
36,0.242157,2
37,0.241782,2
38,0.241374,2
39,0.240924,2
40,0.240425,2
41,0.239881,2
42,0.239295,2
43,0.238676,2
44,0.238032,2
45,0.237374,2
46,0.236707,2
47,0.236038,2
48,0.235367,2
49,0.234696,2
50,0.234020,2
51,0.233336,2
52,0.232641,2
53,0.231931,2
54,0.231206,2
55,0.230466,2
56,0.229714,2
57,0.228954,2
58,0.228190,2
59,0.227428,2
60,0.226670,2
61,0.225919,2
62,0.225175,2
63,0.224436,2
64,0.223698,2
65,0.222957,2
66,0.222211,2
67,0.221456,2
68,0.220691,2
69,0.219916,2
70,0.219134,2
71,0.218346,2
72,0.217555,2
73,0.216762,2
74,0.215969,2
75,0.215176,2
76,0.214384,2
77,0.213591,2
78,0.212796,2
79,0.212000,2
80,0.211203,2
81,0.210406,2
82,0.209609,2
83,0.208813,2
84,0.208021,2
85,0.207232,2
86,0.206446,2
87,0.205663,2
88,0.204881,2
89,0.204100,2
90,0.203319,2
91,0.202536,2
92,0.201753,2
93,0.200968,2
94,0.200182,2
95,0.199394,2
96,0.198604,2
97,0.197812,2
98,0.197018,2
99,0.196220,2
100,0.195421,2
101,0.194619,2
102,0.193816,2
103,0.193013,2
104,0.192210,2
105,0.191407,2
106,0.190606,2
107,0.189807,2
108,0.189011,2
109,0.188220,2
110,0.187433,2
111,0.186653,2
112,0.185878,2
113,0.185109,2
