step,loss,hidden
0,0.292292,2
1,0.286309,2
2,0.280860,2
3,0.275954,2
4,0.271586,2
5,0.267740,2
6,0.264391,2
7,0.261506,2
8,0.259051,2
9,0.256988,2
10,0.255278,2
11,0.253884,2
12,0.252768,2
13,0.251897,2
14,0.251237,2
15,0.250757,2
16,0.250426,2
17,0.250219,2
18,0.250109,2
19,0.250075,2
20,0.250096,2
21,0.250156,2
22,0.250240,2
23,0.250335,2
24,0.250432,2
25,0.250522,2
26,0.250601,2
27,0.250663,2
28,0.250707,2
29,0.250730,2
30,0.250735,2
31,0.250720,2
32,0.250687,2
33,0.250639,2
34,0.250577,2
35,0.250505,2
36,0.250424,2
37,0.250338,2
38,0.250248,2
39,0.250157,2
40,0.250068,2
41,0.249980,2
42,0.249897,2
43,0.249819,2
44,0.249746,2
45,0.249679,2
46,0.249617,2
47,0.249560,2
48,0.249509,2
49,0.249461,2
50,0.249415,2
51,0.249371,2
52,0.249328,2
53,0.249283,2
54,0.249237,2
55,0.249186,2
56,0.249132,2
57,0.249072,2
58,0.249005,2
59,0.248931,2
60,0.248848,2
61,0.248756,2
62,0.248653,2
63,0.248540,2
64,0.248415,2
65,0.248277,2
66,0.248124,2
67,0.247957,2
68,0.247772,2
69,0.247569,2
70,0.247346,2
71,0.247100,2
72,0.246829,2
73,0.246531,2
74,0.246202,2
75,0.245840,2
76,0.245441,2
77,0.245002,2
78,0.244520,2
79,0.243990,2
80,0.243411,2
81,0.242777,2
82,0.242087,2
83,0.241336,2
84,0.240523,2
85,0.239645,2
86,0.238700,2
87,0.237688,2
88,0.236607,2
89,0.235457,2
90,0.234240,2
91,0.232955,2
92,0.231605,2
93,0.230192,2
94,0.228718,2
95,0.227187,2
96,0.225601,2
97,0.223965,2
98,0.222282,2
99,0.220555,2
100,0.218790,2
101,0.216989,2
102,0.215158,2
103,0.213301,2
104,0.211422,2
105,0.209525,2
106,0.207615,2
107,0.205696,2
108,0.203773,2
109,0.201850,2
110,0.199931,2
111,0.198022,2
112,0.196126,2
113,0.194248,2
114,0.192391,2
115,0.190559,2
116,0.188756,2
117,0.186983,2
118,0.185245,2
119,0.183543,2
120,0.181880,2
121,0.180257,2
122,0.178676,2
123,0.177137,2
124,0.175641,2
125,0.174189,2
126,0.172782,2
127,0.171418,2
128,0.170098,2
129,0.168822,2
130,0.167588,2
131,0.166397,2
132,0.165246,2
133,0.164137,2
134,0.163066,2
135,0.162034,2
136,0.161040,2
137,0.160081,2
138,0.159158,2
139,0.158268,2
140,0.157412,2
141,0.156586,2
142,0.155792,2
143,0.155026,2
144,0.154289,2
145,0.153579,2
146,0.152895,2
147,0.152236,2
148,0.151600,2
149,0.150988,2
150,0.150398,2
151,0.149829,2
152,0.149280,2
153,0.148751,2
154,0.148240,2
155,0.147747,2
156,0.147271,2
157,0.146811,2
158,0.146367,2
159,0.145938,2
160,0.145523,2
161,0.145121,2
162,0.144733,2
163,0.144357,2
164,0.143993,2
165,0.143641,2
166,0.143300,2
167,0.142969,2
168,0.142649,2
169,0.142338,2
170,0.142036,2
171,0.141743,2
172,0.141459,2
173,0.141184,2
174,0.140916,2
175,0.140655,2
176,0.140402,2
177,0.140156,2
178,0.139917,2
179,0.139684,2
180,0.139458,2
181,0.139237,2
182,0.139023,2
183,0.138814,2
184,0.138610,2
185,0.138411,2
186,0.138218,2
187,0.138029,2
188,0.137845,2
189,0.137665,2
190,0.137490,2
191,0.137319,2
192,0.137152,2
193,0.136988,2
194,0.136829,2
195,0.136673,2
196,0.136521,2
197,0.136372,2
198,0.136227,2
199,0.136085,2
200,0.144849,16
201,0.147571,16
202,0.138593,16
203,0.127973,16
204,0.126706,16
205,0.124761,16
206,0.117397,16
207,0.109362,16
208,0.103496,16
209,0.097957,16
210,0.090356,16
211,0.080653,16
212,0.070836,16
213,0.062866,16
214,0.056943,16
215,0.052049,16
216,0.047979,16
217,0.045459,16
218,0.044381,16
219,0.043364,16
220,0.041299,16
221,0.038329,16
222,0.035185,16
223,0.032272,16
224,0.029507,16
225,0.026769,16
226,0.024218,16
227,0.022151,16
228,0.020689,16
229,0.019660,16
230,0.018756,16
231,0.017780,16
232,0.016743,16
233,0.015767,16
234,0.014928,16
235,0.014190,16
236,0.013465,16
237,0.012699,16
238,0.011910,16
239,0.011161,16
240,0.010506,16
241,0.009955,16
242,0.009485,16
243,0.009059,16
244,0.008652,16
245,0.008259,16
246,0.007887,16
247,0.007547,16
248,0.007246,16
249,0.006978,16
250,0.006735,16
251,0.006505,16
252,0.006281,16
253,0.006061,16
254,0.005848,16
255,0.005644,16
256,0.005455,16
257,0.005283,16
258,0.005125,16
259,0.004979,16
260,0.004842,16
261,0.004711,16
262,0.004585,16
263,0.004464,16
264,0.004348,16
265,0.004237,16
266,0.004133,16
267,0.004035,16
268,0.003943,16
269,0.003854,16
270,0.003769,16
271,0.003686,16
272,0.003606,16
273,0.003528,16
274,0.003453,16
275,0.003380,16
276,0.003311,16
277,0.003244,16
278,0.003180,16
279,0.003119,16
280,0.003059,16
281,0.003002,16
282,0.002946,16
283,0.002893,16
284,0.002840,16
285,0.002790,16
286,0.002741,16
287,0.002693,16
288,0.002647,16
289,0.002602,16
290,0.002559,16
291,0.002516,16
292,0.002475,16
293,0.002435,16
294,0.002395,16
295,0.002357,16
296,0.002320,16
297,0.002283,16
298,0.002247,16
299,0.002212,16
300,0.002178,16
301,0.002145,16
302,0.002112,16
303,0.002081,16
304,0.002050,16
305,0.002019,16
306,0.001990,16
307,0.001961,16
308,0.001932,16
309,0.001904,16
310,0.001877,16
311,0.001850,16
312,0.001824,16
313,0.001799,16
314,0.001774,16
315,0.001749,16
316,0.001725,16
317,0.001701,16
318,0.001678,16
319,0.001656,16
320,0.001633,16
321,0.001612,16
322,0.001590,16
323,0.001569,16
324,0.001549,16
325,0.001529,16
326,0.001509,16
327,0.001489,16
328,0.001470,16
329,0.001452,16
330,0.001433,16
331,0.001415,16
332,0.001397,16
333,0.001380,16
334,0.001363,16
335,0.001346,16
336,0.001330,16
337,0.001314,16
338,0.001298,16
339,0.001282,16
340,0.001267,16
341,0.001252,16
342,0.001237,16
343,0.001222,16
344,0.001208,16
345,0.001194,16
346,0.001180,16
347,0.001167,16
348,0.001153,16
349,0.001140,16
350,0.001127,16
351,0.001114,16
352,0.001102,16
353,0.001089,16
354,0.001077,16
355,0.001065,16
356,0.001054,16
357,0.001042,16
358,0.001031,16
359,0.001020,16
360,0.001009,16
361,0.000998,16
362,0.000987,16
363,0.000977,16
364,0.000966,16
365,0.000956,16
366,0.000946,16
367,0.000936,16
368,0.000926,16
369,0.000917,16
370,0.000907,16
371,0.000898,16
372,0.000889,16
373,0.000880,16
374,0.000871,16
375,0.000862,16
376,0.000853,16
377,0.000845,16
378,0.000837,16
379,0.000828,16
380,0.000820,16
381,0.000812,16
382,0.000804,16
383,0.000796,16
384,0.000788,16
385,0.000781,16
386,0.000773,16
387,0.000766,16
388,0.000759,16
389,0.000751,16
390,0.000744,16
391,0.000737,16
392,0.000730,16
393,0.000723,16
394,0.000717,16
395,0.000710,16
396,0.000703,16
397,0.000697,16
398,0.000690,16
399,0.000684,16
400,0.000678,16
401,0.000672,16
402,0.000666,16
403,0.000659,16
404,0.000654,16
405,0.000648,16
406,0.000642,16
407,0.000636,16
408,0.000630,16
409,0.000625,16
410,0.000619,16
411,0.000614,16
412,0.000609,16
413,0.000603,16
414,0.000598,16
415,0.000593,16
416,0.000588,16
417,0.000583,16
418,0.000578,16
419,0.000573,16
420,0.000568,16
421,0.000563,16
422,0.000558,16
423,0.000553,16
424,0.000549,16
425,0.000544,16
426,0.000540,16
427,0.000535,16
428,0.000531,16
429,0.000526,16
430,0.000522,16
431,0.000518,16
432,0.000513,16
433,0.000509,16
434,0.000505,16
435,0.000501,16
436,0.000497,16
437,0.000493,16
438,0.000489,16
439,0.000485,16
440,0.000481,16
441,0.000477,16
442,0.000474,16
443,0.000470,16
444,0.000466,16
445,0.000463,16
446,0.000459,16
447,0.000455,16
448,0.000452,16
449,0.000448,16
450,0.000445,16
451,0.000441,16
452,0.000438,16
453,0.000435,16
454,0.000431,16
455,0.000428,16
456,0.000425,16
457,0.000422,16
458,0.000418,16
459,0.000415,16
460,0.000412,16
461,0.000409,16
462,0.000406,16
463,0.000403,16
464,0.000400,16
465,0.000397,16
466,0.000394,16
467,0.000391,16
468,0.000389,16
469,0.000386,16
470,0.000383,16
471,0.000380,16
472,0.000378,16
473,0.000375,16
474,0.000372,16
475,0.000370,16
476,0.000367,16
477,0.000364,16
478,0.000362,16
479,0.000359,16
480,0.000357,16
481,0.000354,16
482,0.000352,16
483,0.000349,16
484,0.000347,16
485,0.000345,16
486,0.000342,16
487,0.000340,16
488,0.000338,16
489,0.000335,16
490,0.000333,16
491,0.000331,16
492,0.000328,16
493,0.000326,16
494,0.000324,16
495,0.000322,16
496,0.000320,16
497,0.000318,16
498,0.000316,16
499,0.000314,16
500,0.000311,16
501,0.000309,16
502,0.000307,16
503,0.000305,16
504,0.000303,16
505,0.000302,16
506,0.000300,16
507,0.000298,16
508,0.000296,16
509,0.000294,16
510,0.000292,16
511,0.000290,16
512,0.000288,16
513,0.000287,16
514,0.000285,16
515,0.000283,16
516,0.000281,16
517,0.000279,16
518,0.000278,16
519,0.000276,16
520,0.000274,16
521,0.000273,16
522,0.000271,16
523,0.000269,16
524,0.000268,16
525,0.000266,16
526,0.000264,16
527,0.000263,16
528,0.000261,16
529,0.000260,16
530,0.000258,16
531,0.000257,16
532,0.000255,16
533,0.000254,16
534,0.000252,16
535,0.000251,16
536,0.000249,16
537,0.000248,16
538,0.000246,16
539,0.000245,16
540,0.000243,16
541,0.000242,16
