step,loss,accuracy,hidden,phase
0,0.292292,0.50,2,1
1,0.286309,0.50,2,1
2,0.280860,0.50,2,1
3,0.275954,0.50,2,1
4,0.271586,0.50,2,1
5,0.267740,0.50,2,1
6,0.264391,0.50,2,1
7,0.261506,0.50,2,1
8,0.259051,0.50,2,1
9,0.256988,0.50,2,1
10,0.255278,0.50,2,1
11,0.253884,0.50,2,1
12,0.252768,0.50,2,1
13,0.251897,0.50,2,1
14,0.251237,0.50,2,1
15,0.250757,0.50,2,1
16,0.250426,0.50,2,1
17,0.250219,0.50,2,1
18,0.250109,0.50,2,1
19,0.250075,0.50,2,1
20,0.250096,0.50,2,1
21,0.250156,0.50,2,1
22,0.250240,0.50,2,1
23,0.250335,0.50,2,1
24,0.250432,0.50,2,1
25,0.250522,0.50,2,1
26,0.250601,0.50,2,1
27,0.250663,0.50,2,1
28,0.250707,0.50,2,1
29,0.250730,0.50,2,1
30,0.250735,0.50,2,1
31,0.250720,0.50,2,1
32,0.250687,0.50,2,1
33,0.250639,0.50,2,1
34,0.250577,0.50,2,1
35,0.250505,0.50,2,1
36,0.250424,0.50,2,1
37,0.250338,0.50,2,1
38,0.250248,0.50,2,1
39,0.250157,0.50,2,1
40,0.250068,0.50,2,1
41,0.249980,0.50,2,1
42,0.249897,0.50,2,1
43,0.249819,0.50,2,1
44,0.249746,0.50,2,1
45,0.249679,0.50,2,1
46,0.249617,0.25,2,1
47,0.249560,0.25,2,1
48,0.249509,0.50,2,1
49,0.249461,0.50,2,1
50,0.249415,0.50,2,1
51,0.249371,0.50,2,1
52,0.249328,0.50,2,1
53,0.249283,0.50,2,1
54,0.249237,0.75,2,1
55,0.249186,0.50,2,1
56,0.249132,0.50,2,1
57,0.249072,0.50,2,1
58,0.249005,0.50,2,1
59,0.248931,0.50,2,1
60,0.248848,0.25,2,1
61,0.248756,0.25,2,1
62,0.248653,0.25,2,1
63,0.248540,0.50,2,1
64,0.248415,0.50,2,1
65,0.248277,0.50,2,1
66,0.248124,0.50,2,1
67,0.247957,0.50,2,1
68,0.247772,0.50,2,1
69,0.247569,0.50,2,1
70,0.247346,0.50,2,1
71,0.247100,0.50,2,1
72,0.246829,0.50,2,1
73,0.246531,0.50,2,1
74,0.246202,0.50,2,1
75,0.245840,0.50,2,1
76,0.245441,0.50,2,1
77,0.245002,0.50,2,1
78,0.244520,0.50,2,1
79,0.243990,0.50,2,1
80,0.243411,0.50,2,1
81,0.242777,0.50,2,1
82,0.242087,0.50,2,1
83,0.241336,0.50,2,1
84,0.240523,0.50,2,1
85,0.239645,0.50,2,1
86,0.238700,0.50,2,1
87,0.237688,0.50,2,1
88,0.236607,0.50,2,1
89,0.235457,0.50,2,1
90,0.234240,0.50,2,1
91,0.232955,0.50,2,1
92,0.231605,0.50,2,1
93,0.230192,0.50,2,1
94,0.228718,0.50,2,1
95,0.227187,0.50,2,1
96,0.225601,0.50,2,1
97,0.223965,0.50,2,1
98,0.222282,0.50,2,1
99,0.220555,0.50,2,1
100,0.218790,0.50,2,1
101,0.216989,0.50,2,1
102,0.215158,0.50,2,1
103,0.213301,0.50,2,1
104,0.211422,0.50,2,1
105,0.209525,0.50,2,1
106,0.207615,0.50,2,1
107,0.205696,0.50,2,1
108,0.203773,0.50,2,1
109,0.201850,0.50,2,1
110,0.199931,0.50,2,1
111,0.198022,0.50,2,1
112,0.196126,0.50,2,1
113,0.194248,0.50,2,1
114,0.192391,0.50,2,1
115,0.190559,0.50,2,1
116,0.188756,0.50,2,1
117,0.186983,0.50,2,1
118,0.185245,0.50,2,1
119,0.183543,0.50,2,1
120,0.181880,0.50,2,1
121,0.180257,0.50,2,1
122,0.178676,0.50,2,1
123,0.177137,0.50,2,1
124,0.175641,0.50,2,1
125,0.174189,0.50,2,1
126,0.172782,0.50,2,1
127,0.171418,0.50,2,1
128,0.170098,0.50,2,1
129,0.168822,0.50,2,1
130,0.167588,0.50,2,1
131,0.166397,0.50,2,1
132,0.165246,0.50,2,1
133,0.164137,0.50,2,1
134,0.163066,0.50,2,1
