step,loss,accuracy,hidden,phase
0,0.251074,0.50,2,1
1,0.250394,0.50,2,1
2,0.250136,0.50,2,1
3,0.250105,0.50,2,1
4,0.250129,0.50,2,1
5,0.250095,0.50,2,1
6,0.249990,0.50,2,1
7,0.249850,0.50,2,1
8,0.249718,0.50,2,1
9,0.249615,0.50,2,1
10,0.249536,0.50,2,1
11,0.249461,0.50,2,1
12,0.249367,0.50,2,1
13,0.249235,0.50,2,1
14,0.249055,0.50,2,1
15,0.248824,0.50,2,1
16,0.248542,0.50,2,1
17,0.248208,0.50,2,1
18,0.247820,0.50,2,1
19,0.247371,0.50,2,1
20,0.246852,0.50,2,1
21,0.246253,0.50,2,1
22,0.245565,0.50,2,1
23,0.244779,0.50,2,1
24,0.243888,0.50,2,1
25,0.242887,0.50,2,1
26,0.241771,0.50,2,1
27,0.240539,0.50,2,1
28,0.239188,0.50,2,1
29,0.237719,0.50,2,1
30,0.236132,0.50,2,1
31,0.234431,0.50,2,1
32,0.232621,0.50,2,1
33,0.230708,0.50,2,1
34,0.228700,0.50,2,1
35,0.226607,0.50,2,1
36,0.224439,0.50,2,1
37,0.222207,0.50,2,1
38,0.219923,0.50,2,1
39,0.217599,0.50,2,1
40,0.215245,0.50,2,1
41,0.212873,0.50,2,1
42,0.210492,0.50,2,1
43,0.208112,0.50,2,1
44,0.205741,0.50,2,1
45,0.203385,0.50,2,1
46,0.201053,0.50,2,1
47,0.198749,0.50,2,1
48,0.196480,0.50,2,1
49,0.194252,0.50,2,1
50,0.192068,0.50,2,1
51,0.189932,0.50,2,1
52,0.187849,0.50,2,1
53,0.185820,0.50,2,1
54,0.183848,0.50,2,1
55,0.181934,0.50,2,1
56,0.180079,0.50,2,1
57,0.178283,0.50,2,1
58,0.176547,0.50,2,1
59,0.174869,0.50,2,1
60,0.173250,0.50,2,1
61,0.171688,0.50,2,1
62,0.170183,0.50,2,1
63,0.168734,0.50,2,1
64,0.167339,0.50,2,1
65,0.165998,0.50,2,1
66,0.164709,0.50,2,1
67,0.163470,0.50,2,1
68,0.162279,0.50,2,1
69,0.161137,0.50,2,1
70,0.160039,0.50,2,1
71,0.158986,0.50,2,1
72,0.157976,0.50,2,1
73,0.157006,0.50,2,1
74,0.156075,0.50,2,1
75,0.155181,0.50,2,1
76,0.154324,0.50,2,1
77,0.153502,0.50,2,1
78,0.152712,0.50,2,1
79,0.151954,0.50,2,1
80,0.151226,0.50,2,1
81,0.150528,0.50,2,1
82,0.149857,0.50,2,1
83,0.149212,0.50,2,1
84,0.148593,0.50,2,1
85,0.147998,0.50,2,1
86,0.147426,0.50,2,1
87,0.146876,0.50,2,1
88,0.146347,0.50,2,1
89,0.145838,0.50,2,1
90,0.145348,0.50,2,1
91,0.144877,0.50,2,1
92,0.144422,0.50,2,1
93,0.143984,0.50,2,1
94,0.143563,0.50,2,1
95,0.143156,0.50,2,1
96,0.142764,0.50,2,1
97,0.142385,0.50,2,1
98,0.142020,0.50,2,1
99,0.141667,0.50,2,1
100,0.141326,0.50,2,1
101,0.140997,0.50,2,1
102,0.140679,0.50,2,1
103,0.140371,0.50,2,1
104,0.140073,0.50,2,1
105,0.139785,0.50,2,1
106,0.139506,0.50,2,1
107,0.139236,0.50,2,1
108,0.138974,0.50,2,1
109,0.138720,0.50,2,1
110,0.138474,0.50,2,1
111,0.138236,0.50,2,1
112,0.138004,0.50,2,1
113,0.137780,0.50,2,1
114,0.137562,0.50,2,1
115,0.137350,0.50,2,1
116,0.137144,0.50,2,1
117,0.136944,0.50,2,1
118,0.136750,0.50,2,1
119,0.136561,0.50,2,1
120,0.136377,0.50,2,1
121,0.136198,0.50,2,1
122,0.136023,0.50,2,1
123,0.135854,0.50,2,1
124,0.135689,0.50,2,1
125,0.135528,0.50,2,1
126,0.135371,0.50,2,1
127,0.135218,0.50,2,1
128,0.135069,0.50,2,1
129,0.134923,0.50,2,1
