step,loss,accuracy,hidden,phase
0,0.250340,0.50,2,1
1,0.250034,0.50,2,1
2,0.250082,0.50,2,1
3,0.250149,0.50,2,1
4,0.250108,0.50,2,1
5,0.250034,0.50,2,1
6,0.249996,0.50,2,1
7,0.250010,0.50,2,1
8,0.250044,0.50,2,1
9,0.250058,0.50,2,1
10,0.250044,0.50,2,1
11,0.250018,0.50,2,1
12,0.250000,0.50,2,1
13,0.250001,0.50,2,1
14,0.250014,0.50,2,1
15,0.250026,0.50,2,1
16,0.250025,0.50,2,1
17,0.250014,0.50,2,1
18,0.250000,0.50,2,1
19,0.249992,0.50,2,1
20,0.249993,0.50,2,1
21,0.249998,0.50,2,1
22,0.249999,0.50,2,1
23,0.249994,0.50,2,1
24,0.249983,0.50,2,1
25,0.249974,0.50,2,1
26,0.249969,0.50,2,1
27,0.249967,0.50,2,1
28,0.249964,0.50,2,1
29,0.249956,0.50,2,1
30,0.249943,0.50,2,1
31,0.249927,0.50,2,1
32,0.249911,0.50,2,1
33,0.249894,0.50,2,1
34,0.249873,0.50,2,1
35,0.249844,0.50,2,1
36,0.249806,0.50,2,1
37,0.249760,0.50,2,1
38,0.249705,0.50,2,1
39,0.249639,0.50,2,1
40,0.249557,0.50,2,1
41,0.249454,0.50,2,1
42,0.249327,0.50,2,1
43,0.249171,0.50,2,1
44,0.248982,0.50,2,1
45,0.248751,0.50,2,1
46,0.248469,0.50,2,1
47,0.248129,0.50,2,1
48,0.247720,0.50,2,1
49,0.247234,0.50,2,1
50,0.246662,0.50,2,1
51,0.245996,0.50,2,1
52,0.245227,0.50,2,1
53,0.244350,0.50,2,1
54,0.243361,0.50,2,1
55,0.242256,0.50,2,1
56,0.241036,0.50,2,1
57,0.239701,0.50,2,1
58,0.238254,0.50,2,1
59,0.236699,0.50,2,1
60,0.235044,0.50,2,1
61,0.233297,0.50,2,1
62,0.231467,0.50,2,1
63,0.229565,0.50,2,1
64,0.227604,0.50,2,1
65,0.225596,0.50,2,1
66,0.223556,0.50,2,1
67,0.221497,0.50,2,1
68,0.219434,0.50,2,1
69,0.217379,0.50,2,1
70,0.215346,0.50,2,1
71,0.213347,0.50,2,1
72,0.211394,0.50,2,1
73,0.209495,0.50,2,1
74,0.207659,0.50,2,1
75,0.205893,0.50,2,1
76,0.204203,0.50,2,1
77,0.202592,0.50,2,1
78,0.201062,0.50,2,1
79,0.199615,0.50,2,1
80,0.198251,0.50,2,1
81,0.196968,0.50,2,1
82,0.195766,0.50,2,1
83,0.194642,0.50,2,1
84,0.193592,0.50,2,1
85,0.192614,0.50,2,1
86,0.191703,0.50,2,1
87,0.190856,0.50,2,1
88,0.190070,0.50,2,1
89,0.189339,0.50,2,1
90,0.188661,0.50,2,1
91,0.188031,0.50,2,1
92,0.187447,0.50,2,1
93,0.186905,0.50,2,1
94,0.186401,0.50,2,1
95,0.185932,0.50,2,1
96,0.185497,0.50,2,1
97,0.185091,0.50,2,1
98,0.184714,0.50,2,1
99,0.184362,0.50,2,1
100,0.184034,0.50,2,1
101,0.183728,0.50,2,1
102,0.183441,0.50,2,1
103,0.183173,0.50,2,1
104,0.182922,0.50,2,1
105,0.182687,0.50,2,1
106,0.182466,0.50,2,1
107,0.182258,0.50,2,1
108,0.182063,0.50,2,1
109,0.181879,0.50,2,1
110,0.181705,0.50,2,1
111,0.181541,0.50,2,1
112,0.181386,0.50,2,1
113,0.181239,0.50,2,1
114,0.181100,0.50,2,1
115,0.180968,0.50,2,1
116,0.180843,0.50,2,1
117,0.180724,0.50,2,1
118,0.180611,0.50,2,1
119,0.180503,0.50,2,1
120,0.180400,0.50,2,1
121,0.180302,0.50,2,1
122,0.180208,0.50,2,1
123,0.180118,0.50,2,1
124,0.180032,0.50,2,1
125,0.179950,0.50,2,1
126,0.179871,0.50,2,1
127,0.179795,0.50,2,1
128,0.179722,0.50,2,1
129,0.179652,0.50,2,1
130,0.179585,0.50,2,1
131,0.179520,0.50,2,1
132,0.179457,0.50,2,1
133,0.179397,0.50,2,1
134,0.179339,0.50,2,1
135,0.179283,0.50,2,1
136,0.179228,0.50,2,1
137,0.179175,0.50,2,1
138,0.179124,0.50,2,1
139,0.179075,0.50,2,1
140,0.179027,0.50,2,1
141,0.178981,0.50,2,1
142,0.178936,0.50,2,1
143,0.178892,0.50,2,1
144,0.178850,0.50,2,1
145,0.178809,0.50,2,1
146,0.178769,0.50,2,1
147,0.178730,0.50,2,1
148,0.178692,0.50,2,1
149,0.178655,0.50,2,1
150,0.178619,0.50,2,1
151,0.178584,0.50,2,1
152,0.178550,0.50,2,1
153,0.178516,0.50,2,1
154,0.178484,0.50,2,1
155,0.178452,0.50,2,1
156,0.178421,0.50,2,1
157,0.178391,0.50,2,1
158,0.178361,0.50,2,1
159,0.178332,0.50,2,1
160,0.178304,0.50,2,1
161,0.178277,0.50,2,1
162,0.178250,0.50,2,1
163,0.178223,0.50,2,1
164,0.178198,0.50,2,1
165,0.178172,0.50,2,1
166,0.178148,0.50,2,1
167,0.178123,0.50,2,1
168,0.178100,0.50,2,1
169,0.178076,0.50,2,1
170,0.178054,0.50,2,1
171,0.178031,0.50,2,1
172,0.178009,0.50,2,1
173,0.177988,0.50,2,1
174,0.177967,0.50,2,1
175,0.177946,0.50,2,1
176,0.177926,0.50,2,1
177,0.177906,0.50,2,1
178,0.177887,0.50,2,1
179,0.177867,0.50,2,1
180,0.177849,0.50,2,1
181,0.177830,0.50,2,1
182,0.177812,0.50,2,1
183,0.177794,0.50,2,1
184,0.177777,0.50,2,1
185,0.177759,0.50,2,1
186,0.177742,0.50,2,1
187,0.177726,0.50,2,1
188,0.177709,0.50,2,1
189,0.177693,0.50,2,1
190,0.177678,0.50,2,1
191,0.177662,0.50,2,1
192,0.177647,0.50,2,1
193,0.177632,0.50,2,1
194,0.177617,0.50,2,1
195,0.177602,0.50,2,1
196,0.177588,0.50,2,1
197,0.177574,0.50,2,1
198,0.177560,0.50,2,1
199,0.177546,0.50,2,1
200,0.302699,0.50,2,1
201,0.244010,0.50,16,2
202,0.245375,0.50,16,2
203,0.225141,0.50,16,2
204,0.201066,0.50,16,2
205,0.191893,0.50,16,2
206,0.188222,0.50,16,2
207,0.179640,0.50,16,2
208,0.167270,0.50,16,2
209,0.156384,0.50,16,2
210,0.149240,0.50,16,2
211,0.143750,0.50,16,2
212,0.136988,0.50,16,2
213,0.128049,0.50,16,2
214,0.118125,0.50,16,2
215,0.108977,0.50,16,2
216,0.101176,0.50,16,2
217,0.093665,0.75,16,2
218,0.085228,0.75,16,2
219,0.076020,0.75,16,2
220,0.067424,0.75,16,2
221,0.060531,0.75,16,2
222,0.054988,0.75,16,2
223,0.049679,0.75,16,2
224,0.044257,0.75,16,2
225,0.039346,0.75,16,2
226,0.035557,0.75,16,2
227,0.032795,0.75,16,2
228,0.030470,0.75,16,2
229,0.028075,0.75,16,2
230,0.025511,0.75,16,2
231,0.022985,0.75,16,2
232,0.020734,0.75,16,2
233,0.018842,0.75,16,2
234,0.017230,0.75,16,2
235,0.015764,0.75,16,2
236,0.014354,0.75,16,2
237,0.012991,0.75,16,2
238,0.011718,0.75,16,2
239,0.010582,0.75,16,2
240,0.009608,1.00,16,2
241,0.008788,1.00,16,2
242,0.008097,1.00,16,2
243,0.007504,1.00,16,2
244,0.006983,1.00,16,2
245,0.006514,1.00,16,2
246,0.006086,1.00,16,2
247,0.005697,1.00,16,2
248,0.005343,1.00,16,2
249,0.005026,1.00,16,2
250,0.004742,1.00,16,2
251,0.004491,1.00,16,2
252,0.004268,1.00,16,2
253,0.004070,1.00,16,2
254,0.003892,1.00,16,2
255,0.003731,1.00,16,2
256,0.003582,1.00,16,2
257,0.003444,1.00,16,2
258,0.003315,1.00,16,2
259,0.003193,1.00,16,2
260,0.003079,1.00,16,2
261,0.002971,1.00,16,2
262,0.002869,1.00,16,2
263,0.002774,1.00,16,2
264,0.002685,1.00,16,2
265,0.002602,1.00,16,2
266,0.002525,1.00,16,2
267,0.002452,1.00,16,2
268,0.002384,1.00,16,2
269,0.002320,1.00,16,2
270,0.002260,1.00,16,2
271,0.002203,1.00,16,2
272,0.002149,1.00,16,2
273,0.002097,1.00,16,2
274,0.002048,1.00,16,2
275,0.002001,1.00,16,2
276,0.001956,1.00,16,2
277,0.001913,1.00,16,2
278,0.001872,1.00,16,2
279,0.001833,1.00,16,2
280,0.001795,1.00,16,2
281,0.001760,1.00,16,2
282,0.001725,1.00,16,2
283,0.001692,1.00,16,2
284,0.001661,1.00,16,2
285,0.001630,1.00,16,2
286,0.001601,1.00,16,2
287,0.001573,1.00,16,2
288,0.001546,1.00,16,2
289,0.001520,1.00,16,2
290,0.001495,1.00,16,2
291,0.001470,1.00,16,2
292,0.001446,1.00,16,2
293,0.001423,1.00,16,2
294,0.001401,1.00,16,2
295,0.001379,1.00,16,2
296,0.001358,1.00,16,2
297,0.001338,1.00,16,2
298,0.001318,1.00,16,2
299,0.001298,1.00,16,2
300,0.001279,1.00,16,2
301,0.001261,1.00,16,2
302,0.001243,1.00,16,2
303,0.001225,1.00,16,2
304,0.001208,1.00,16,2
305,0.001192,1.00,16,2
306,0.001176,1.00,16,2
307,0.001160,1.00,16,2
308,0.001144,1.00,16,2
309,0.001129,1.00,16,2
310,0.001114,1.00,16,2
311,0.001100,1.00,16,2
312,0.001086,1.00,16,2
313,0.001072,1.00,16,2
314,0.001058,1.00,16,2
315,0.001045,1.00,16,2
316,0.001032,1.00,16,2
317,0.001019,1.00,16,2
318,0.001006,1.00,16,2
319,0.000994,1.00,16,2
320,0.000982,1.00,16,2
